"","label_name_a","var_name","label_file"
"1","REDE COMPLETA - Sem Zeros","full_no_zero","~/SNArRDJF/REDE_COMPLETA_Sem_Zeros.Rmd"
"2","RELACIONAMENTO FORMAL E INFORMAL","x2","~/SNArRDJF/RELACIONAMENTO_FORMAL_E_INFORMAL.Rmd"
"3","RELACIONAMENTO FORMAL","var0","~/SNArRDJF/RELACIONAMENTO_FORMAL.Rmd"
"4","REFERENCIA DE ENVIO","var1","~/SNArRDJF/REFERENCIA_DE_ENVIO.Rmd"
"5","REFERENCIA DE RECEBIMENTO CONTRAREFERENCIA","var2","~/SNArRDJF/REFERENCIA_DE_RECEBIMENTO_CONTRAREFERENCIA.Rmd"
"6","COORDENAÇÃO CONJUNTA DE CASOS","var3","~/SNArRDJF/COORDENAÇÃO_CONJUNTA_DE_CASOS.Rmd"
"7","PROGRAMAS EM CONJUNTO","var4","~/SNArRDJF/PROGRAMAS_EM_CONJUNTO.Rmd"
"8","OFERTA DE TREINAMENTOS/CAPACITAÇÕES","var5","~/SNArRDJF/OFERTA_DE_TREINAMENTOS_CAPACITAÇÕES.Rmd"
"9","RECEBER TREINAMENTOS/CAPACITAÇÕES","var6","~/SNArRDJF/RECEBER_TREINAMENTOS_CAPACITAÇÕES.Rmd"
"10","ACESSO A) Este serviço mostra-se disponível para realização de ativades em conjunto.","var7","~/SNArRDJF/ACESSO_A_Disponível_para_ativades.Rmd"
"11","ACESSO B) O horário de funcionamento deste serviço possibilita a realização de ações em conjunto.","var8","~/SNArRDJF/ACESSO_B_Suficiente_horário_de_funcionamento.Rmd"
"12","ACESSO C) Este serviço disponibiliza informações sobre suas ativades para o seu serviço.","var9","~/SNArRDJF/ACESSO_C_Informações_sobre_suas_ativades.Rmd"
"13","ACESSO D) O seu serviço consegue acessar facilmente informações deste serviço.","var10","~/SNArRDJF/ACESSO_D_Acesso_informações_deste_serviço.Rmd"
"14","ACESSO E) Os canais de comunicação com este serviço são suficientes para realização de ações em conjunto.","var11","~/SNArRDJF/ACESSO_E_Canais_de_comunicação_suficientes.Rmd"
"15","ACESSO F) Seu serviço tem facilade de entrar em contato com este serviço para realizar ativades em conjunto.","var12","~/SNArRDJF/ACESSO_F_Facilade_de_entrar_em_contato.Rmd"
"16","ACESSO G) O acesso geográfico a este serviço impede a realização de ativades em conjunto. ","var13","~/SNArRDJF/ACESSO_G_O_acesso_geográfico_impede.Rmd"
"17","ACESSO H) O custo para acessar este serviço impede a realização de ativades em conjunto.","var14","~/SNArRDJF/ACESSO_H_O_custo_impede_ativades.Rmd"
"18","ACESSO I) O tempo gasto para acessar este serviço impede a realização ativades em conjunto.","var15","~/SNArRDJF/ACESSO_I_O_tempo_impede_ativades.Rmd"
"19","CONFIANÇA A) Confia na qualificação profissional da equipe deste serviço ","var16","~/SNArRDJF/CONFIANÇA_A_Qualificação_profissional.Rmd"
"20","CONFIANÇA B) Confia na capacade técnica da equipe deste serviço.","var17","~/SNArRDJF/CONFIANÇA_B_Capacade_técnica.Rmd"
"21","CONFIANÇA C) Confia nas ações realizadas por este serviço.","var18","~/SNArRDJF/CONFIANÇA_C_Ações_realizadas.Rmd"
"22","CONFIANÇA D) Confia em compartilhar informações internas com este serviço. ","var19","~/SNArRDJF/CONFIANÇA_D_Compartilhar_informações_internas.Rmd"
"23","CONFIANÇA E) Confia nas informações recebas deste serviço.","var20","~/SNArRDJF/CONFIANÇA_E_Confia_nas_informações_recebidas.Rmd"
"24","CONFIANÇA F) Confia em realizar ações conjuntas com este serviço.","var21","~/SNArRDJF/CONFIANÇA_F_Confia_em_realizar_ações_conjuntas.Rmd"
"25","CONFIANÇA G) Está satisfeito com as ações desempenhadas por este serviço.","var22","~/SNArRDJF/CONFIANÇA_G_Está_satisfeito_com_as_ações_deste_serviço.Rmd"
"26","CONFIANÇA H) Espera que o relacionamento com este serviço continue nos próximos anos.","var23","~/SNArRDJF/CONFIANÇA_H_Relacionamento_continuará_nos_próximos_anos.Rmd"
"27","CONFIANÇA I) Espera que o relacionamento com este serviço se fortaleça nos próximos anos.","var24","~/SNArRDJF/CONFIANÇA_I_Relacionamento_se_fortalecerá_nos_próximos_anos.Rmd"
"28","ATIVIDADE","atividade","~/SNArRDJF/ATIVIDADE.Rmd"
"29","ACESSO","acesso","~/SNArRDJF/ACESSO.Rmd"
"30","CONFIANÇA","confianca","~/SNArRDJF/CONFIANÇA.Rmd"
"31","ACESSO E CONFIANÇA","acessoeconfianca","~/SNArRDJF/ACESSO_E_CONFIANÇA.Rmd"
"32","TOTAL","total","~/SNArRDJF/TOTAL.Rmd"
